sample_id,file_path,category,subcategory,instrument,tags,duration,sample_rate,source,source_id,license,pitch,dynamic,technique,description
urban_impact_tap_0001,data/corpus/urban/impact/urban_impact_tap_0001.wav,urban,impact,tap,Tap;Chirp_and_tweet;Waves_and_surf;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal;Ocean;Water,18.553,22050,FSD50K,100.wav,CC-BY,,,,tap from FSD50K (Tap)
nature_animal_mammal_0001,data/corpus/nature/animal/nature_animal_mammal_0001.wav,nature,animal,mammal,Meow;Cat;Domestic_animals_and_pets;Animal,0.869,22050,FSD50K,100030.wav,CC-BY,,,,mammal from FSD50K (Cat)
urban_machine_engine_0001,data/corpus/urban/machine/urban_machine_engine_0001.wav,urban,machine,engine,Sink_(filling_or_washing);Water_tap_and_faucet;Engine;Domestic_sounds_and_home_sounds,22.338,22050,FSD50K,1001.wav,CC-BY,,,,engine from FSD50K (Engine)
nature_animal_bird_0001,data/corpus/nature/animal/nature_animal_bird_0001.wav,nature,animal,bird,Chirp_and_tweet;Vehicle_horn_and_car_horn_and_honking;Train;Alarm;Car;Motor_vehicle_(road);Vehicle;Rail_transport;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal,22.439,22050,FSD50K,100265.wav,CC-BY,,,,bird from FSD50K (Chirp_and_tweet)
urban_machine_fan_0001,data/corpus/urban/machine/urban_machine_fan_0001.wav,urban,machine,fan,Mechanical_fan;Engine;Mechanisms,17.685,22050,FSD50K,100355.wav,CC-BY,,,,fan from FSD50K (Mechanical_fan)
nature_human_speech_female_0001,data/corpus/nature/human/nature_human_speech_female_0001.wav,nature,human,speech_female,Female_speech_and_woman_speaking;Chuckle_and_chortle;Giggle;Speech;Human_voice;Laughter,3.397,22050,FSD50K,100426.wav,CC-BY,,,,speech_female from FSD50K (Female_speech_and_woman_speaking)
urban_impact_squeak_0001,data/corpus/urban/impact/urban_impact_squeak_0001.wav,urban,impact,squeak,Squeak;Door;Domestic_sounds_and_home_sounds,15.264,22050,FSD50K,1005.wav,CC-BY,,,,squeak from FSD50K (Squeak)
nature_human_chatter_0001,data/corpus/nature/human/nature_human_chatter_0001.wav,nature,human,chatter,Chatter;Bus;Vehicle_horn_and_car_horn_and_honking;Bell;Alarm;Car;Motor_vehicle_(road);Vehicle;Human_group_actions,19.435,22050,FSD50K,100647.wav,CC-BY,,,,chatter from FSD50K (Chatter)
nature_water_gurgle_0001,data/corpus/nature/water/nature_water_gurgle_0001.wav,nature,water,gurgle,Sink_(filling_or_washing);Gurgling;Domestic_sounds_and_home_sounds;Water,11.669,22050,FSD50K,1007.wav,CC-BY,,,,gurgle from FSD50K (Gurgling)
nature_animal_bird_0002,data/corpus/nature/animal/nature_animal_bird_0002.wav,nature,animal,bird,Chirp_and_tweet;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal,22.398,22050,FSD50K,100783.wav,CC-BY,,,,bird from FSD50K (Chirp_and_tweet)
nature_animal_bird_0003,data/corpus/nature/animal/nature_animal_bird_0003.wav,nature,animal,bird,Chicken_and_rooster;Fowl;Livestock_and_farm_animals_and_working_animals;Animal,2.416,22050,FSD50K,100785.wav,CC-BY,,,,bird from FSD50K (Chicken_and_rooster)
nature_animal_bird_0004,data/corpus/nature/animal/nature_animal_bird_0004.wav,nature,animal,bird,Chicken_and_rooster;Fowl;Livestock_and_farm_animals_and_working_animals;Animal,2.402,22050,FSD50K,100786.wav,CC-BY,,,,bird from FSD50K (Chicken_and_rooster)
urban_machine_engine_0002,data/corpus/urban/machine/urban_machine_engine_0002.wav,urban,machine,engine,Race_car_and_auto_racing;Engine;Car;Motor_vehicle_(road);Vehicle,17.23,22050,FSD50K,100791.wav,CC-BY,,,,engine from FSD50K (Engine)
urban_impact_drawer_0001,data/corpus/urban/impact/urban_impact_drawer_0001.wav,urban,impact,drawer,Drawer_open_or_close;Wood;Domestic_sounds_and_home_sounds,9.867,22050,FSD50K,1008.wav,CC-BY,,,,drawer from FSD50K (Drawer_open_or_close)
urban_domestic_toilet_0001,data/corpus/urban/domestic/urban_domestic_toilet_0001.wav,urban,domestic,toilet,Toilet_flush;Domestic_sounds_and_home_sounds,14.641,22050,FSD50K,100839.wav,CC-BY,,,,toilet from FSD50K (Toilet_flush)
nature_human_voice_0001,data/corpus/nature/human/nature_human_voice_0001.wav,nature,human,voice,Human_voice,4.494,22050,FSD50K,100884.wav,CC-BY,,,,voice from FSD50K (Human_voice)
nature_human_voice_0002,data/corpus/nature/human/nature_human_voice_0002.wav,nature,human,voice,Human_voice,21.697,22050,FSD50K,100895.wav,CC-BY,,,,voice from FSD50K (Human_voice)
urban_human_typing_0001,data/corpus/urban/human/urban_human_typing_0001.wav,urban,human,typing,Typewriter;Typing;Domestic_sounds_and_home_sounds,0.813,22050,FSD50K,100897.wav,CC-BY,,,,typing from FSD50K (Typing)
urban_impact_drawer_0002,data/corpus/urban/impact/urban_impact_drawer_0002.wav,urban,impact,drawer,Drawer_open_or_close;Wood;Domestic_sounds_and_home_sounds,22.651,22050,FSD50K,1009.wav,CC-BY,,,,drawer from FSD50K (Drawer_open_or_close)
nature_human_speech_male_0001,data/corpus/nature/human/nature_human_speech_male_0001.wav,nature,human,speech_male,Male_speech_and_man_speaking;Applause;Screaming;Chatter;Cheering;Clapping;Shout;Speech;Human_voice;Human_group_actions;Hands,15.77,22050,FSD50K,100904.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
urban_impact_drawer_0003,data/corpus/urban/impact/urban_impact_drawer_0003.wav,urban,impact,drawer,Drawer_open_or_close;Domestic_sounds_and_home_sounds,10.709,22050,FSD50K,1010.wav,CC-BY,,,,drawer from FSD50K (Drawer_open_or_close)
urban_impact_rattle_0001,data/corpus/urban/impact/urban_impact_rattle_0001.wav,urban,impact,rattle,Rattle;Drawer_open_or_close;Domestic_sounds_and_home_sounds,21.069,22050,FSD50K,1011.wav,CC-BY,,,,rattle from FSD50K (Rattle)
urban_impact_glass_0001,data/corpus/urban/impact/urban_impact_glass_0001.wav,urban,impact,glass,Chink_and_clink;Glass,9.263,22050,FSD50K,101246.wav,CC-BY,,,,glass from FSD50K (Glass)
nature_water_drip_0001,data/corpus/nature/water/nature_water_drip_0001.wav,nature,water,drip,Drip;Liquid,8.053,22050,FSD50K,1013.wav,CC-BY,,,,drip from FSD50K (Drip)
urban_alarm_alarm_0001,data/corpus/urban/alarm/urban_alarm_alarm_0001.wav,urban,alarm,alarm,Alarm,20.814,22050,FSD50K,101354.wav,CC-BY,,,,alarm from FSD50K (Alarm)
urban_alarm_alarm_0002,data/corpus/urban/alarm/urban_alarm_alarm_0002.wav,urban,alarm,alarm,Alarm,5.786,22050,FSD50K,101355.wav,CC-BY,,,,alarm from FSD50K (Alarm)
nature_water_drip_0002,data/corpus/nature/water/nature_water_drip_0002.wav,nature,water,drip,Drip;Liquid,9.472,22050,FSD50K,1014.wav,CC-BY,,,,drip from FSD50K (Drip)
urban_domestic_tick_0001,data/corpus/urban/domestic/urban_domestic_tick_0001.wav,urban,domestic,tick,Boiling;Tick;Hiss;Liquid,18.39,22050,FSD50K,101468.wav,CC-BY,,,,tick from FSD50K (Tick)
urban_domestic_clock_0001,data/corpus/urban/domestic/urban_domestic_clock_0001.wav,urban,domestic,clock,Tick-tock;Clock;Mechanisms,26.006,22050,FSD50K,101471.wav,CC-BY,,,,clock from FSD50K (Tick-tock)
urban_impact_squeak_0002,data/corpus/urban/impact/urban_impact_squeak_0002.wav,urban,impact,squeak,Squeak;Sliding_door;Door;Domestic_sounds_and_home_sounds,5.016,22050,FSD50K,101480.wav,CC-BY,,,,squeak from FSD50K (Squeak)
nature_weather_thunder_0001,data/corpus/nature/weather/nature_weather_thunder_0001.wav,nature,weather,thunder,Thunder;Rain;Water;Thunderstorm,19.252,22050,FSD50K,101509.wav,CC-BY,,,,thunder from FSD50K (Thunder)
nature_water_gurgle_0002,data/corpus/nature/water/nature_water_gurgle_0002.wav,nature,water,gurgle,Trickle_and_dribble;Water_tap_and_faucet;Gurgling;Pour;Liquid;Domestic_sounds_and_home_sounds;Water,13.355,22050,FSD50K,1017.wav,CC-BY,,,,gurgle from FSD50K (Gurgling)
urban_impact_tap_0002,data/corpus/urban/impact/urban_impact_tap_0002.wav,urban,impact,tap,Tap;Scissors;Human_group_actions;Domestic_sounds_and_home_sounds,4.428,22050,FSD50K,101732.wav,CC-BY,,,,tap from FSD50K (Tap)
nature_human_chatter_0002,data/corpus/nature/human/nature_human_chatter_0002.wav,nature,human,chatter,Chatter;Domestic_sounds_and_home_sounds;Human_group_actions,3.812,22050,FSD50K,101733.wav,CC-BY,,,,chatter from FSD50K (Chatter)
urban_impact_crushing_0001,data/corpus/urban/impact/urban_impact_crushing_0001.wav,urban,impact,crushing,Crowd;Crushing;Human_group_actions,2.774,22050,FSD50K,101734.wav,CC-BY,,,,crushing from FSD50K (Crushing)
nature_human_speech_female_0002,data/corpus/nature/human/nature_human_speech_female_0002.wav,nature,human,speech_female,Female_speech_and_woman_speaking;Cheering;Clapping;Shout;Music;Speech;Human_voice;Human_group_actions;Hands,11.401,22050,FSD50K,101744.wav,CC-BY,,,,speech_female from FSD50K (Female_speech_and_woman_speaking)
nature_human_speech_male_0002,data/corpus/nature/human/nature_human_speech_male_0002.wav,nature,human,speech_male,Male_speech_and_man_speaking;Bicycle_bell;Traffic_noise_and_roadway_noise;Speech;Human_voice;Bicycle;Vehicle;Alarm;Bell;Motor_vehicle_(road),16.237,22050,FSD50K,101746.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
