sample_id,file_path,category,subcategory,instrument,tags,duration,sample_rate,source,source_id,license,pitch,dynamic,technique,description
nature_human_speech_0001,data/corpus/nature/human/nature_human_speech_0001.wav,nature,human,speech,speech;clean;read,5.855,22050,LibriSpeech,1272-128104-0000.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0002,data/corpus/nature/human/nature_human_speech_0002.wav,nature,human,speech,speech;clean;read,4.815,22050,LibriSpeech,1272-128104-0001.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0003,data/corpus/nature/human/nature_human_speech_0003.wav,nature,human,speech,speech;clean;read,12.485,22050,LibriSpeech,1272-128104-0002.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0004,data/corpus/nature/human/nature_human_speech_0004.wav,nature,human,speech,speech;clean;read,9.9,22050,LibriSpeech,1272-128104-0003.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0005,data/corpus/nature/human/nature_human_speech_0005.wav,nature,human,speech,speech;clean;read,29.4,22050,LibriSpeech,1272-128104-0004.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0006,data/corpus/nature/human/nature_human_speech_0006.wav,nature,human,speech,speech;clean;read,9.01,22050,LibriSpeech,1272-128104-0005.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0007,data/corpus/nature/human/nature_human_speech_0007.wav,nature,human,speech,speech;clean;read,5.64,22050,LibriSpeech,1272-128104-0006.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0008,data/corpus/nature/human/nature_human_speech_0008.wav,nature,human,speech,speech;clean;read,9.24,22050,LibriSpeech,1272-128104-0007.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0009,data/corpus/nature/human/nature_human_speech_0009.wav,nature,human,speech,speech;clean;read,5.12,22050,LibriSpeech,1272-128104-0008.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0010,data/corpus/nature/human/nature_human_speech_0010.wav,nature,human,speech,speech;clean;read,18.29,22050,LibriSpeech,1272-128104-0009.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0011,data/corpus/nature/human/nature_human_speech_0011.wav,nature,human,speech,speech;clean;read,5.6,22050,LibriSpeech,1272-128104-0010.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0012,data/corpus/nature/human/nature_human_speech_0012.wav,nature,human,speech,speech;clean;read,15.115,22050,LibriSpeech,1272-128104-0011.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0013,data/corpus/nature/human/nature_human_speech_0013.wav,nature,human,speech,speech;clean;read,5.38,22050,LibriSpeech,1272-128104-0012.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0014,data/corpus/nature/human/nature_human_speech_0014.wav,nature,human,speech,speech;clean;read,7.1,22050,LibriSpeech,1272-128104-0013.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0015,data/corpus/nature/human/nature_human_speech_0015.wav,nature,human,speech,speech;clean;read,2.245,22050,LibriSpeech,1272-128104-0014.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-128104
nature_human_speech_0016,data/corpus/nature/human/nature_human_speech_0016.wav,nature,human,speech,speech;clean;read,10.885,22050,LibriSpeech,1272-135031-0000.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0017,data/corpus/nature/human/nature_human_speech_0017.wav,nature,human,speech,speech;clean;read,11.13,22050,LibriSpeech,1272-135031-0001.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0018,data/corpus/nature/human/nature_human_speech_0018.wav,nature,human,speech,speech;clean;read,11.475,22050,LibriSpeech,1272-135031-0002.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0019,data/corpus/nature/human/nature_human_speech_0019.wav,nature,human,speech,speech;clean;read,4.755,22050,LibriSpeech,1272-135031-0003.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0020,data/corpus/nature/human/nature_human_speech_0020.wav,nature,human,speech,speech;clean;read,4.225,22050,LibriSpeech,1272-135031-0004.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0021,data/corpus/nature/human/nature_human_speech_0021.wav,nature,human,speech,speech;clean;read,4.625,22050,LibriSpeech,1272-135031-0005.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0022,data/corpus/nature/human/nature_human_speech_0022.wav,nature,human,speech,speech;clean;read,4.09,22050,LibriSpeech,1272-135031-0006.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0023,data/corpus/nature/human/nature_human_speech_0023.wav,nature,human,speech,speech;clean;read,4.055,22050,LibriSpeech,1272-135031-0007.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0024,data/corpus/nature/human/nature_human_speech_0024.wav,nature,human,speech,speech;clean;read,3.67,22050,LibriSpeech,1272-135031-0008.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
